event_id,event_date,result,odds_decimal,model_prob,ev,stake,pnl,bankroll
E051,2024-03-08,win,2.7,0.5525261914259283,0.4918207168500064,1.0,1.7000000000000002,1001.7
E052,2024-03-09,win,1.8,0.690215643969726,0.24238815914550682,1.0,0.8,1002.5
E053,2024-03-10,loss,2.4,0.56245413836667,0.34988993208000796,1.0,-1.0,1001.5
E054,2024-03-11,win,2.8,0.5831326311977444,0.6327713673536841,1.0,1.7999999999999998,1003.3
E055,2024-03-12,win,2.0,0.6797957595680784,0.3595915191361567,1.0,1.0,1004.3
E056,2024-03-13,loss,3.1,0.4691238034615172,0.45428379073070335,1.0,-1.0,1003.3
E057,2024-03-15,win,1.75,0.6275976745228911,0.09829593041505946,1.0,0.75,1004.05
E058,2024-03-16,loss,2.05,0.6409805728034207,0.3140101742470123,1.0,-1.0,1003.05
E061,2024-03-20,win,1.9,0.7134035166086161,0.3554666815563705,1.0,0.8999999999999999,1003.9499999999999
E062,2024-03-21,win,2.1,0.5751444395001175,0.20780332295024673,1.0,1.1,1005.05
E063,2024-03-22,win,2.3,0.696862668391039,0.6027841372993896,1.0,1.2999999999999998,1006.3499999999999
E066,2024-03-26,push,1.95,0.6459693736824155,0.25964027868071016,1.0,0.0,1006.3499999999999
E067,2024-03-27,loss,2.2,0.6035594270737098,0.3278307395621616,1.0,-1.0,1005.3499999999999
E068,2024-03-28,win,1.7,0.724281240336161,0.23127810857147368,1.0,0.7,1006.05
