event_id,event_date,result,odds_decimal,model_prob,ev,stake,pnl,bankroll
E051,2024-03-08,win,2.7,0.5525261914259283,0.4918207168500064,26.787620743464398,45.538955263889484,1045.5389552638894
E052,2024-03-09,win,1.8,0.690215643969726,0.24238815914550682,43.99761504884211,35.198092039073686,1080.7370473029632
E053,2024-03-10,loss,2.4,0.56245413836667,0.34988993208000796,28.13534316050463,-28.13534316050463,1052.6017041424586
E054,2024-03-11,win,2.8,0.5831326311977444,0.6327713673536841,33.038502956797714,59.46930532223588,1112.0710094646945
E055,2024-03-12,win,2.0,0.6797957595680784,0.3595915191361567,49.9864129600861,49.9864129600861,1162.0574224247805
E056,2024-03-13,loss,3.1,0.4691238034615172,0.45428379073070335,20.27280533432717,-20.27280533432717,1141.7846170904534
E057,2024-03-15,win,1.75,0.6275976745228911,0.09829593041505946,21.37767262295399,16.033254467215492,1157.817871557669
E058,2024-03-16,loss,2.05,0.6409805728034207,0.3140101742470123,42.22608497028207,-42.22608497028207,1115.5917865873869
E061,2024-03-20,win,1.9,0.7134035166086161,0.3554666815563705,55.779589329369344,50.20163039643241,1165.7934169838193
E062,2024-03-21,win,2.1,0.5751444395001175,0.20780332295024673,26.21815432064506,28.839969752709568,1194.6333867365288
E063,2024-03-22,win,2.3,0.696862668391039,0.6027841372993896,59.73166933682644,77.65117013787436,1272.284556874403
E066,2024-03-26,push,1.95,0.6459693736824155,0.25964027868071016,44.57979985263613,0.0,1272.284556874403
E067,2024-03-27,loss,2.2,0.6035594270737098,0.3278307395621616,39.497536667959515,-39.497536667959515,1232.7870202064435
E068,2024-03-28,win,1.7,0.724281240336161,0.23127810857147368,59.89845594638853,41.92891916247197,1274.7159393689153
